system,A,B,omega_cross,lambda_cross,delta_cross,delta_over_lambda,rel_err_vs_theory
"diffusion+reaction (k=1, D=1e-4)",1.000000e+04,1.000000e+04,1.000000e+00,1.380647e-01,9.101797e-03,0.0659241359,0.000e+00
"diffusion+reaction (k=10, D=1e-2)",1.000000e+03,1.000000e+02,1.000000e+01,4.365990e-01,2.878241e-02,0.0659241359,0.000e+00
"conv-diff (v=0.001, D=1e-8)",2.500000e+09,1.000000e+08,2.500000e+01,2.761294e-04,1.820359e-05,0.0659241359,2.105e-16
"conv-diff (v=0.01, D=1e-6)",2.500000e+07,1.000000e+06,2.500000e+01,2.761294e-03,1.820359e-04,0.0659241359,2.105e-16
"conv-diff (v=0.1, D=1e-4)",2.500000e+05,1.000000e+04,2.500000e+01,2.761294e-02,1.820359e-03,0.0659241359,0.000e+00
"BS (r=0.03, sigma=0.20)",1.500000e+00,5.000000e+01,3.000000e-02,1.127294e+01,7.431586e-01,0.0659241359,2.105e-16
"BS (r=0.05, sigma=0.30)",1.111111e+00,2.222222e+01,5.000000e-02,1.309797e+01,8.634723e-01,0.0659241359,0.000e+00
"BS (r=0.10, sigma=0.80)",3.125000e-01,3.125000e+00,1.000000e-01,2.469777e+01,1.628179e+00,0.0659241359,2.105e-16
"rxn-diff (k=1e-3, D=1e-5)",1.000000e+02,1.000000e+05,1.000000e-03,1.380647e+00,9.101797e-02,0.0659241359,4.210e-16
"rxn-diff (k=1e3, D=1e-2)",1.000000e+05,1.000000e+02,1.000000e+03,4.365990e-02,2.878241e-03,0.0659241359,0.000e+00
